id,name,content
ho-ve-sieu-anh-hung-nhung-nguoi-bao-ve,Hộ Vệ Siêu Anh Hùng (Những Người Bảo Vệ),"<span class="""">Daredevil,</span><span class=""""> Jessica Jones,</span><span class=""""> Luke Cage và Iron Fist quyết định bắt tay,</span><span class=""""> hợp lực cùng nhau để đối đầu với những kẻ thù chung,</span><span class=""""> khi một âm mưu đen tối và nham hiểm đang đe dọa trực tiếp đến sự sống còn của thành phố New York.</span>"
dua-hau-lap-lanh,Dưa Hấu Lấp Lánh,"Một học sinh CODA (con của người lớn khiếm thính) sinh ra với năng khiếu về âm nhạc đã hạ cánh xuống một nơi xa lạ sau một thời gian du hành qua một cửa hàng âm nhạc đáng ngờ. Tại đây, anh thành lập ban nhạc Watermelon Sugar cùng với những thanh niên bí ẩn khác."
y-chi-kim-cuong,Ý Chí Kim Cương,Chàng nhạc công tài năng xuất thân nghèo khó và một nữ sinh trung học giàu có nảy sinh tình cảm giữa những mối thù địch cá nhân và một biến cố làm thay đổi cuộc đời.
nam-phu-thuy,Nam Phù Thủy,"Một chàng trai trẻ mang trong mình mảnh linh hồn của quỷ dữ đã bắt tay cùng một đồng minh bí ẩn để săn lùng những thực thể siêu nhiên chuyên hút sinh lực của con người. Giữa cuộc chiến khốc liệt với bóng tối, anh vừa phải tìm cách kiểm soát sức mạnh tà ác đang dần trỗi dậy trong chính cơ thể mình, vừa phải bảo vệ nhân loại khỏi những hiểm họa vô hình đang rình rập."
the-gioi-em-va-toi,Thế Giới Em Và Tôi,"Theo yêu cầu của người bạn bị thương giống tên, Thatri, trong tình cảnh phá sản, mạo danh người bạn đó để nhận thừa kế và thay đổi số phận của cả hai."
nu-vuong-trum-cuoi-cung-hung-cuc-ac-se-doc-suc-vi-nguoi-dan-phan-2,Nữ Vương Trùm Cuối Cùng Hung Cực Ác Sẽ Dốc Sức Vì Người Dân (Phần 2),"&quot;Nếu ta trở thành một nữ vương tồi tệ thì hãy giết ta.&quot;

Công chúa Pride Royal Ivy khi lên 8 tuổi đã nhận ra kiếp trước của mình là một cô gái bình thường, con của một gia đình bình dân ở Nhật Bản. Giờ đây, cô phát hiện mình đã trở thành nữ vương độc ác, tàn độc trong một Otome-game...

Cô đã chuyển sinh vào Otome-game &quot;Người và tia sáng của thế gian&quot;. Theo mạch truyện thì Pride là người tàn độc sẽ đày ải toàn bộ đất nước và thần dân. Dựa vào ký ức của tiền kiếp về tựa game, cô đã biết mình sẽ trở thành trùm cuối nên quyết định sẽ bằng mọi giá tránh cho thảm kịch xảy đến.

Đây chính là câu chuyện kỳ ảo về một nữ công chúa phản diện cùng hung cực ác cố gắng tránh khỏi thảm kịch xảy đến với mình và sẽ xây dựng một thế giới nơi mọi nhân vật đều được hạnh phúc."
toi-muon-cham-dut-tro-choi-tinh-yeu-nay,Tôi Muốn Chấm Dứt Trò Chơi Tình Yêu Này,"Nao là một bản sao được tạo ra để trở thành &quot;hình nhân thế thân&quot; hoàn hảo cho Sunao Aikawa, chuyên thay thế Sunao mỗi khi cô nàng trốn học. Nao đi học, chơi thể thao và sống mỗi ngày chỉ vì bản chính—cho đến một ngày, cô nảy sinh tình cảm với một chàng trai. Đột nhiên, cuộc đời lặng lẽ mượn tạm của Nao bừng sáng với những buổi hẹn hò bí mật và những lời hứa thẹn thùng. Thế nhưng, Nao càng trân trọng những khoảnh khắc ấy bao nhiêu thì cô càng phải che giấu kỹ bấy nhiêu trước Sunao, người đang bắt đầu nhận ra những thay đổi lạ thường ở bản sao của mình."
tien-tri-tinh-yeu,Tiên Tri Tình Yêu,"Một sinh viên kiến trúc năm cuối dồn hết tâm huyết vào đồ án tốt nghiệp lấy cảm hứng từ “đá rune”. Cuộc sống của cậu bất ngờ rẽ sang hướng khác khi tình cờ trở thành thầy bói tại quán bar Magic Move của bạn mình, và những lời tiên đoán chính xác đến khó tin khiến cậu nổi tiếng chỉ sau một đêm. Rồi định mệnh đưa cậu bước vào một mối tình hỗn loạn—thứ sẽ thay đổi cuộc đời cậu mãi mãi."
mai-moi-cho-doc-su,Mai Mối Cho Độc Sư,"Để bảo vệ em gái khỏi cuộc hôn nhân ép buộc, sát thủ tinh nhuệ nọ tìm đến sự giúp đỡ của một kẻ chuyên lừa đảo hôn nhân để thực hiện nhiệm vụ khó khăn nhất: tìm cô dâu hoàn hảo."
ky-uc-tinh-thu-2026,Ký Ức Tình Thù,"Phim kể về Rawee, người thừa kế khối tài sản kếch xù từ cha và có một cuộc hôn nhân sắp đặt. Anh bị sát hại sau khi phát hiện vợ mình ngoại tình. Rất may, Rawee không chết mà chỉ mất trí nhớ và được cô gái Lockchan cứu sống. Liệu Rawee có lấy lại được ký ức để trả thù những kẻ đã từng giết hại mình?"
ke-ca-ban-sao-cung-biet-yeu,Kể Cả Bản Sao Cũng Biết Yêu,"Nao là một bản sao được tạo ra để trở thành &quot;hình nhân thế thân&quot; hoàn hảo cho Sunao Aikawa, chuyên thay thế Sunao mỗi khi cô nàng trốn học. Nao đi học, chơi thể thao và sống mỗi ngày chỉ vì bản chính—cho đến một ngày, cô nảy sinh tình cảm với một chàng trai. Đột nhiên, cuộc đời lặng lẽ mượn tạm của Nao bừng sáng với những buổi hẹn hò bí mật và những lời hứa thẹn thùng. Thế nhưng, Nao càng trân trọng những khoảnh khắc ấy bao nhiêu thì cô càng phải che giấu kỹ bấy nhiêu trước Sunao, người đang bắt đầu nhận ra những thay đổi lạ thường ở bản sao của mình."
toi-ket-ban-voi-co-gai-xinh-thu-hai-trong-lop,Tôi Kết Bạn Với Cô Gái Xinh Thứ Hai Trong Lớp,"Maki Maehara, một nam sinh bị cô lập trong lớp, cuối cùng cũng có được người bạn đầu tiên: Umi Asanagi — cô gái xinh đẹp thứ hai trong khối và luôn là tâm điểm của mọi sự chú ý. Maki luôn tin rằng cô ấy ở một đẳng cấp hoàn toàn khác so với mình, nhưng khi tình bạn bất ngờ giữa họ dần khăng khít hơn, anh bắt đầu tự hỏi... liệu có thể tồn tại một điều gì đó sâu đậm hơn cả tình bạn giữa hai người hay không?"
ho-giau-van-payak-raai-sorn-laai,Hổ Giấu Vằn (Payak Raai Sorn Laai),"Sau khi người cha nuôi bị sát hại bởi tổ chức bí mật Phượng Hoàng Lửa, Taiga lên đường sang Thái Lan để tìm kiếm sự thật. Bằng cách thâm nhập vào một tập đoàn quyền lực có mối liên hệ mật thiết với thế giới ngầm tội phạm, anh ráo riết truy lùng tung tích của kẻ bí ẩn mang danh &quot;Ác Quỷ&quot;. Tại đây, Taiga liên tục đụng độ với Rin – một vệ sĩ luôn sống khép kín, người cũng mang trong mình mối thù sâu sắc liên quan đến cùng một âm mưu đen tối."
bach-quy-da-hanh-ky-hyakki-yagshosho,Bách Quỷ Dạ Hành Ký (Hyakki Yagshosho),"Ritsu được thừa hưởng giác quan thứ sáu từ ông nội, cùng với một hộ pháp bảo vệ thuộc cõi âm tên là Blue Storm (Thanh Lam). Những hiện tượng kỳ lạ dường như luôn bám theo bộ đôi này, và nhiệm vụ của họ là phải tìm ra chân tướng của những sự kiện bí ẩn đó. Mỗi câu chuyện là một phần độc lập nhưng đều có sự xuất hiện của các nhân vật quen thuộc — những người mà bạn sẽ dần thấu hiểu và trân trọng khi chứng kiến cách họ đối mặt với những thứ &quot;không thuộc về thế giới này&quot; theo phong cách riêng của mỗi người."
phi-vu-the-ky-3-thoat-an-thoat-hien,Phi Vụ Thế Kỷ 3: Thoắt Ẩn Thoắt Hiện,Nhóm Tứ Kỵ Sĩ ban đầu tái hợp cùng với một thế hệ ảo thuật gia mới để đối đầu với nữ thừa kế kim cương đầy quyền lực là Veronika Vanderberg. Veronika điều hành một đế chế tội phạm được xây dựng trên hoạt động rửa tiền và buôn bán người.&nbsp; Các ảo thuật gia mới và cũ phải vượt qua những khác biệt của mình để cùng nhau thực hiện vụ trộm đầy tham vọng nhất từ trước đến nay.
sep-oi-mai-dung-gap-nhau,"Sếp Ơi, Mai Đừng Gặp Nhau!","Bộ phim xoay quanh cuộc sống của Cha Ji-yoon (do Park Ji-hyun thủ vai), một nhân viên văn phòng kỳ cựu với 7 năm kinh nghiệm. Cô vốn là một nhân viên tận tụy, được đồng nghiệp tin tưởng nhờ kỹ năng làm việc xuất sắc, nhưng hiện tại cô đang rơi vào trạng thái bế tắc (slump) cả trong sự nghiệp lẫn chuyện tình cảm. Cuộc đời của Ji-yoon trở nên đảo lộn khi cô phải làm việc dưới quyền của Kang Si-u (do Seo In-guk thủ vai) – vị quản lý trực tiếp của cô. Si-u là một người đàn ông có ngoại hình hoàn hảo và phong thái kỷ luật, nhưng lại nổi tiếng là &quot;kẻ khó tính nhất công ty&quot; với tính cách lạnh lùng, thẳng thắn và gai góc. Ban đầu, Ji-yoon coi Si-u là &quot;cái xấu ít hơn&quot; để tránh những rắc rối tệ hại hơn tại nơi làm việc. Tuy nhiên, trong quá trình tiếp xúc và đối mặt với những áp lực công việc hàng ngày, Ji-yoon dần nhận ra những khía cạnh ấm áp ẩn giấu sau vẻ ngoài nghiêm nghị của sếp mình. Ngược lại, Si-u cũng bị thu hút bởi sự kiên cường và bản lĩnh của Ji-yoon. Từ mối quan hệ cấp trên – cấp dưới đầy căng thẳng, họ dần trở thành chỗ dựa tinh thần không thể thay thế cho nhau."
